date,I,R,D,C
2020-03-07,1,0,0,1
2020-03-08,3,0,0,3
2020-03-09,5,0,0,5
2020-03-10,7,0,0,7
2020-03-11,10,0,0,10
2020-03-12,12,0,0,12
2020-03-13,15,0,1,16
2020-03-14,19,0,1,20
2020-03-15,24,0,1,25
2020-03-16,30,0,1,31
2020-03-17,37,0,1,38
2020-03-18,45,1,1,47
2020-03-19,55,1,2,58
2020-03-20,68,2,2,72
2020-03-21,86,2,2,90
2020-03-22,117,2,2,121
2020-03-23,150,3,3,156
2020-03-24,189,10,3,202
2020-03-25,225,17,4,246
2020-03-26,274,25,5,304
2020-03-27,329,35,6,370
2020-03-28,393,45,8,446
2020-03-29,448,55,11,514
2020-03-30,488,87,13,588
2020-03-31,553,114,16,683
2020-04-01,618,142,19,779
2020-04-02,677,169,23,869
2020-04-03,741,197,27,965
2020-04-04,817,227,30,1074
2020-04-05,885,256,34,1175
2020-04-06,973,270,37,1280
2020-04-07,1036,284,42,1362
2020-04-08,1109,300,47,1456
2020-04-09,1184,315,52,1551
2020-04-10,1263,331,58,1652
2020-04-11,1309,354,64,1727
2020-04-12,1375,381,70,1826
2020-04-13,1434,408,77,1919
2020-04-14,1488,440,84,2012
2020-04-15,1551,474,91,2116
2020-04-16,1618,512,97,2227
2020-04-17,1670,553,103,2326
2020-04-18,1741,588,109,2438
2020-04-19,1799,623,115,2537
2020-04-20,1867,654,121,2642
2020-04-21,1929,694,127,2750
2020-04-22,1983,734,133,2850
2020-04-23,2058,775,140,2973
2020-04-24,2140,819,148,3107
2020-04-25,2228,869,156,3253
2020-04-26,2315,925,164,3404
2020-04-27,2400,983,173,3556
2020-04-28,2501,1029,182,3712
2020-04-29,2610,1075,190,3875
2020-04-30,2696,1123,198,4017
2020-05-01,2776,1168,205,4149
2020-05-02,2857,1209,212,4278
2020-05-03,2940,1245,220,4405
2020-05-04,3014,1288,229,4531
2020-05-05,3090,1332,237,4659
2020-05-06,3165,1380,246,4791
2020-05-07,3242,1429,255,4926
2020-05-08,3334,1481,265,5080
2020-05-09,3422,1540,274,5236
2020-05-10,3536,1597,282,5415
2020-05-11,3670,1654,290,5614
2020-05-12,3827,1709,298,5834
2020-05-13,3952,1815,306,6073
2020-05-14,4082,1927,316,6325
2020-05-15,4219,2047,325,6591
2020-05-16,4385,2162,334,6881
2020-05-17,4551,2278,343,7172
2020-05-18,4727,2391,353,7471
2020-05-19,4893,2535,364,7792
2020-05-20,5131,2630,374,8135
2020-05-21,5429,2723,383,8535
2020-05-22,5791,2803,394,8988
2020-05-23,6142,2946,406,9494
2020-05-24,6538,3112,417,10067
2020-05-25,6938,3308,429,10675
2020-05-26,7371,3493,442,11306
2020-05-27,7820,3695,456,11971
2020-05-28,8261,3922,469,12652
2020-05-29,8684,4168,482,13334
2020-05-30,9186,4348,494,14028
2020-05-31,9627,4577,506,14710
2020-06-01,10080,4795,519,15394
2020-06-02,10575,5015,531,16121
2020-06-03,11105,5236,543,16884
2020-06-04,11679,5433,557,17669
2020-06-05,12280,5618,573,18471
2020-06-06,12894,5817,590,19301
2020-06-07,13500,6042,608,20150
2020-06-08,14111,6297,628,21036
2020-06-09,14745,6562,649,21956
